Time,x1,y1,z1,x2,y2,z2
0.016988,,,,22.38869999978732,-0.45210989961439907,0.218
0.019751,,,,22.38869999978732,-0.45210989961439907,0.218
0.022899,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.029939,,,,22.38869999978732,-0.45210989961439907,0.218
0.033764,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.03991,,,,22.38869999978732,-0.45210989961439907,0.218
0.04249,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.050354,,,,22.38869999978732,-0.45210989961439907,0.218
0.054925,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.061286,,,,22.38869999978732,-0.45210989961439907,0.218
0.062889,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.070236,,,,22.38869999978732,-0.45210989961439907,0.218
0.073634,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.088204,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.088459,,,,22.38869999978732,-0.45210989961439907,0.218
0.090252,,,,22.38869999978732,-0.45210989961439907,0.218
0.093135,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.099514,,,,22.38869999978732,-0.45210989961439907,0.218
0.10214,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.109784,,,,22.38869999978732,-0.45210989961439907,0.218
0.112696,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.119841,,,,22.38869999978732,-0.45210989961439907,0.218
0.125091,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.130031,,,,22.38869999978732,-0.45210989961439907,0.218
0.1327,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.140366,,,,22.38869999978732,-0.45210989961439907,0.218
0.142346,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.150119,,,,22.38869999978732,-0.45210989961439907,0.218
0.152593,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.159924,,,,22.38869999978732,-0.45210989961439907,0.218
0.162256,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.169745,,,,22.38869999978732,-0.45210989961439907,0.218
0.172457,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.179861,,,,22.38869999978732,-0.45210989961439907,0.218
0.18295,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.189928,,,,22.38869999978732,-0.45210989961439907,0.218
0.19202,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.20127,,,,22.38869999978732,-0.45210989961439907,0.218
0.202645,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.212683,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.21292,,,,22.38869999978732,-0.45210989961439907,0.218
0.219954,,,,22.38869999978732,-0.45210989961439907,0.218
0.223829,-1.676099999869507,-1.9236832991744564,-0.22,,,
0.230095,,,,22.38869999978732,-0.45210989961439907,0.218
0.231957,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.239392,,,,22.38869999978732,-0.45210989961439907,0.218
0.242839,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.249972,,,,22.377599999657605,-0.4609747990881061,0.227
0.252913,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.259946,,,,22.377599999657605,-0.4609747990881061,0.227
0.26232,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.270399,,,,22.377599999657605,-0.4609747990881061,0.227
0.272226,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.279758,,,,22.377599999657605,-0.4609747990881061,0.227
0.282874,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.290023,,,,22.377599999657605,-0.4609747990881061,0.227
0.292769,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.300146,,,,22.377599999657605,-0.4609747990881061,0.227
0.302144,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.316844,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.317101,,,,22.377599999657605,-0.4609747990881061,0.227
0.321067,,,,22.377599999657605,-0.4609747990881061,0.227
0.32386,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.330137,,,,22.377599999657605,-0.4609747990881061,0.227
0.332802,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.340993,,,,22.377599999657605,-0.4609747990881061,0.227
0.342349,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.350063,,,,22.377599999657605,-0.4609747990881061,0.227
0.35285,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.360396,,,,22.377599999657605,-0.4609747990881061,0.227
0.363343,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.369868,,,,22.377599999657605,-0.4609747990881061,0.227
0.373001,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.380128,,,,22.377599999657605,-0.4609747990881061,0.227
0.382729,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.395901,,,,22.377599999657605,-0.4609747990881061,0.227
0.396405,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.400034,,,,22.377599999657605,-0.4609747990881061,0.227
0.403263,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.409945,,,,22.377599999657605,-0.4609747990881061,0.227
0.411866,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.419629,,,,22.377599999657605,-0.4609747990881061,0.227
0.422782,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.429968,,,,22.377599999657605,-0.4609747990881061,0.227
0.432145,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.439976,,,,22.377599999657605,-0.4609747990881061,0.227
0.443335,-1.6649999997397913,-1.9236832991744564,-0.213,,,
0.450246,,,,22.377599999657605,-0.4609747990881061,0.227
