Time,x1,y1,z1,x2,y2,z2
0.055242,,,,20.17980000000108,22.2331692003047,-0.801
0.056814,1.076699999963182,3.0229309006823684,1.696,,,
0.05728,1.076699999963182,3.0229309006823684,1.696,,,
0.058618,,,,20.17980000000108,22.2331692003047,-0.801
0.065323,1.076699999963182,3.0229309006823684,1.696,,,
0.067661,,,,20.17980000000108,22.2331692003047,-0.801
0.072674,1.076699999963182,3.0229309006823684,1.696,,,
0.076902,,,,20.17980000000108,22.2331692003047,-0.801
0.086375,1.076699999963182,3.0229309006823684,1.696,,,
0.086636,,,,20.17980000000108,22.2331692003047,-0.801
0.092987,1.076699999963182,3.0229309006823684,1.696,,,
0.096368,,,,20.17980000000108,22.2331692003047,-0.801
0.10266,1.076699999963182,3.0229309006823684,1.696,,,
0.106341,,,,20.17980000000108,22.2331692003047,-0.801
0.112323,1.076699999963182,3.0229309006823684,1.696,,,
0.12015,,,,20.17980000000108,22.2331692003047,-0.801
0.123262,1.076699999963182,3.0229309006823684,1.696,,,
0.127503,,,,20.17980000000108,22.2331692003047,-0.801
0.133393,1.076699999963182,3.0229309006823684,1.696,,,
0.136336,,,,20.17980000000108,22.2331692003047,-0.801
0.142169,1.076699999963182,3.0229309006823684,1.696,,,
0.148095,,,,20.17980000000108,22.2331692003047,-0.801
0.152443,1.076699999963182,3.0229309006823684,1.696,,,
0.156148,,,,20.17980000000108,22.2331692003047,-0.801
0.161956,1.076699999963182,3.0229309006823684,1.696,,,
0.169204,,,,20.17980000000108,22.2331692003047,-0.801
0.172819,1.076699999963182,3.0229309006823684,1.696,,,
0.176169,,,,20.17980000000108,22.2331692003047,-0.801
0.182336,1.076699999963182,3.0229309006823684,1.696,,,
0.187716,,,,20.17980000000108,22.2331692003047,-0.801
0.192314,1.076699999963182,3.0229309006823684,1.696,,,
0.196482,,,,20.17980000000108,22.2331692003047,-0.801
0.202115,1.076699999963182,3.0229309006823684,1.696,,,
0.207707,,,,20.17980000000108,22.2331692003047,-0.801
0.212897,1.076699999963182,3.0229309006823684,1.696,,,
0.216956,,,,20.17980000000108,22.2331692003047,-0.801
0.22333,1.0878000000928978,3.0229309006823684,1.705,,,
0.227009,,,,20.17980000000108,22.2331692003047,-0.801
0.23343,1.0878000000928978,3.0229309006823684,1.705,,,
0.238693,,,,20.17980000000108,22.2331692003047,-0.801
0.244599,1.0878000000928978,3.0229309006823684,1.705,,,
0.253675,1.0878000000928978,3.0229309006823684,1.705,,,
0.254191,,,,20.17980000000108,22.2331692003047,-0.801
0.256557,,,,20.17980000000108,22.2331692003047,-0.801
0.264966,1.0878000000928978,3.0229309006823684,1.705,,,
0.26691,,,,20.17980000000108,22.2331692003047,-0.801
0.273347,1.0878000000928978,3.0229309006823684,1.705,,,
0.276582,,,,20.17980000000108,22.2331692003047,-0.801
0.281991,1.0878000000928978,3.0229309006823684,1.705,,,
0.290975,,,,20.17980000000108,22.2331692003047,-0.787
0.292075,1.0878000000928978,3.0229309006823684,1.705,,,
0.296705,,,,20.17980000000108,22.2331692003047,-0.787
0.303061,1.0878000000928978,3.0229309006823684,1.705,,,
0.306753,,,,20.17980000000108,22.2331692003047,-0.787
